# energy dos
-2.484450000000000003e+01 0.000000000000000000e+00
-2.483210000000000051e+01 0.000000000000000000e+00
-2.481979999999999720e+01 0.000000000000000000e+00
-2.480739999999999768e+01 0.000000000000000000e+00
-2.479499999999999815e+01 0.000000000000000000e+00
-2.478269999999999840e+01 0.000000000000000000e+00
-2.477029999999999887e+01 0.000000000000000000e+00
-2.475789999999999935e+01 0.000000000000000000e+00
-2.474559999999999960e+01 0.000000000000000000e+00
-2.473320000000000007e+01 0.000000000000000000e+00
-2.472090000000000032e+01 0.000000000000000000e+00
-2.470849999999999724e+01 0.000000000000000000e+00
-2.469609999999999772e+01 0.000000000000000000e+00
-2.468379999999999797e+01 0.000000000000000000e+00
-2.467139999999999844e+01 0.000000000000000000e+00
-2.465909999999999869e+01 0.000000000000000000e+00
-2.464669999999999916e+01 0.000000000000000000e+00
-2.463429999999999964e+01 0.000000000000000000e+00
-2.462199999999999989e+01 0.000000000000000000e+00
-2.460960000000000036e+01 0.000000000000000000e+00
-2.459719999999999729e+01 0.000000000000000000e+00
-2.458489999999999753e+01 0.000000000000000000e+00
-2.457249999999999801e+01 0.000000000000000000e+00
-2.456019999999999825e+01 0.000000000000000000e+00
-2.454779999999999873e+01 0.000000000000000000e+00
-2.453539999999999921e+01 0.000000000000000000e+00
-2.452309999999999945e+01 0.000000000000000000e+00
-2.451069999999999993e+01 0.000000000000000000e+00
-2.449840000000000018e+01 0.000000000000000000e+00
-2.448599999999999710e+01 0.000000000000000000e+00
-2.447359999999999758e+01 0.000000000000000000e+00
-2.446129999999999782e+01 0.000000000000000000e+00
-2.444889999999999830e+01 0.000000000000000000e+00
-2.443649999999999878e+01 0.000000000000000000e+00
-2.442419999999999902e+01 0.000000000000000000e+00
-2.441179999999999950e+01 0.000000000000000000e+00
