# energy s p d
-2.743809999999999860e+01 2.460064448911568095e-09 2.460064448911568095e-09 6.452446658139731868e-04
-2.742530000000000001e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.971321091958603980e-04
-2.741260000000000119e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.516415913445787180e-05
-2.739979999999999905e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.398828454701105921e-05
-2.738700000000000045e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.159465000158097934e-06
-2.737430000000000163e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.134456440833216832e-07
-2.736149999999999949e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.403300621394544887e-08
-2.734880000000000067e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.380193346734704699e-09
-2.733599999999999852e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.732329999999999970e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.731050000000000111e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.729779999999999873e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.728500000000000014e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.727230000000000132e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.725949999999999918e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.724680000000000035e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.723400000000000176e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.722129999999999939e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.720850000000000080e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.719569999999999865e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.718299999999999983e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.717020000000000124e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.715749999999999886e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.714470000000000027e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.713200000000000145e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.711919999999999931e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.710650000000000048e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.709369999999999834e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.708099999999999952e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.706820000000000093e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.705549999999999855e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.704269999999999996e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.703000000000000114e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.701719999999999899e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.700440000000000040e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.699170000000000158e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.697889999999999944e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.696620000000000061e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.695339999999999847e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.694069999999999965e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.692790000000000106e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.691519999999999868e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.690240000000000009e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.688970000000000127e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.687689999999999912e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.686420000000000030e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.685140000000000171e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.683869999999999933e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.682590000000000074e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
